anger,disgust,fear,joy,sadness,analytical,confident,tentative,openness,conscientiousness,extraversion,agreeableness,neuroticism,class
0.080031,0.24506,0.054252,0.014389,0.709654,0,0.866237,0,0.201753,0.340838,0.701901,0.806647,0.576765,FAKE
0.04256,0.254545,0.055839,0.228221,0.293438,0,0,0,0.107284,0.2001,0.534935,0.787284,0.224504,REAL
0.554821,0.176055,0.05447,0.002953,0.203658,0,0,0.291123,0.13916,0.82899,0.87946,0.669526,0.884994,FAKE
0.254239,0.043229,0.099501,0.053842,0.395985,0,0,0,0.449836,0.39985,0.402973,0.549391,0.469637,REAL
0.092231,0.11932,0.130315,0.037299,0.248672,0,0,0,0.264827,0.274437,0.543387,0.599488,0.294449,FAKE
0.282357,0.239249,0.108135,0.149534,0.366116,0,0,0,0.041559,0.198811,0.756559,0.651804,0.315051,FAKE
0.063165,0.042234,0.141438,0.001243,0.882481,0,0,0,0.039041,0.241062,0.379333,0.592227,0.039839,REAL
0.13381,0.204526,0.140434,0.087549,0.256754,0.955445,0.874372,0,0.730594,0.458758,0.86314,0.70557,0.820074,REAL
0.394073,0.029144,0.146557,0.166003,0.354566,0,0,0,0.144235,0.33048,0.578388,0.530492,0.23946,REAL
0.149907,0.194854,0.069318,0.076174,0.352823,0,0.6821,0,0.882304,0.979099,0.969613,0.935373,0.95471,REAL
0.252094,0.246193,0.10574,0.001595,0.587998,0,0,0.928936,0.073681,0.013462,0.24642,0.03936,0.292545,REAL
0.077708,0.035382,0.352202,0.306866,0.289236,0,0,0,0.059398,0.333163,0.457727,0.675379,0.364777,FAKE
0.456514,0.225027,0.220157,0.143019,0.11145,0,0,0,0.389165,0.466877,0.505791,0.507003,0.791311,FAKE
0.076134,0.572732,0.077627,0.027025,0.031007,0,0,0,0.604896,0.254983,0.584092,0.503536,0.615284,REAL
0.12076,0.250801,0.130239,0.0181,0.187292,0.920855,0,0,0.538934,0.286596,0.613195,0.603473,0.542431,REAL
0.189109,0.740097,0.074296,0.01596,0.107336,0,0,0,0.497591,0.177176,0.705011,0.659671,0.591522,FAKE
0.286586,0.214205,0.319324,0.005897,0.435474,0.482451,0,0,0.639173,0.174196,0.854083,0.934997,0.524886,FAKE
0.126042,0.234248,0.073134,0.002001,0.611372,0,0,0.5538,0.528386,0.478371,0.751246,0.602681,0.894381,REAL
0.195322,0.135214,0.24074,0.059645,0.220226,0.801827,0,0.323642,0.603106,0.716145,0.775292,0.551786,0.778832,REAL
0.294699,0.518398,0.105262,0.006718,0.238239,0.955445,0,0,0.230307,0.313047,0.697823,0.361125,0.813606,REAL
0.052913,0.029052,0.009251,0.657519,0.127939,0,0,0,0.712859,0.609483,0.649268,0.788899,0.752099,FAKE
0.120256,0.148315,0.033585,0.248635,0.150995,0,0,0,0.531113,0.299848,0.86932,0.731993,0.585802,REAL
0.040438,0.202785,0.757149,0.034088,0.114483,0.653099,0,0,0.09775,0.558255,0.649242,0.695912,0.732822,REAL
0.112083,0.055426,0.099308,0.099775,0.165293,0.235443,0,0,0.875334,0.316824,0.574148,0.350642,0.570957,FAKE
0.262738,0.167192,0.120501,0.056576,0.503413,0.890188,0,0,0.282928,0.531805,0.63115,0.567598,0.674949,REAL
0.153762,0.097442,0.067006,0.119491,0.176788,0,0,0,0.801736,0.262749,0.936173,0.88778,0.797074,REAL
0.087722,0.273707,0.049904,0.098263,0.285686,0.842108,0.543112,0,0.582182,0.490623,0.605854,0.484009,0.860616,REAL
0.307951,0.14982,0.052265,0.046002,0.30476,0.075232,0.397164,0,0.90342,0.563095,0.913063,0.754094,0.453339,REAL
0.131581,0.068086,0.218955,0.012769,0.281569,0,0.449032,0,0.196408,0.318399,0.509412,0.617724,0.460798,FAKE
